task,bin,bin_lo_inclusive,bin_hi_exclusive,count
reasoning_entity,0-499,0,500,55
reasoning_entity,500-999,500,1000,1099
reasoning_entity,1000-1499,1000,1500,21
reasoning_entity,1500-1999,1500,2000,1
reasoning_entity,2000-2999,2000,3000,1
reasoning_entity,3000-3999,3000,4000,1
reasoning_entity,4000-4999,4000,5000,1
reasoning_entity,5000-5499,5000,5500,14
reasoning_entity,5500-5999,5500,6000,0
reasoning_entity,6000-6139,6000,6144,1
reasoning_entity,6144+,6144,99999,0
reasoning_etiological,0-499,0,500,1
reasoning_etiological,500-999,500,1000,202
reasoning_etiological,1000-1499,1000,1500,4
reasoning_etiological,1500-1999,1500,2000,0
reasoning_etiological,2000-2999,2000,3000,0
reasoning_etiological,3000-3999,3000,4000,0
reasoning_etiological,4000-4999,4000,5000,0
reasoning_etiological,5000-5499,5000,5500,0
reasoning_etiological,5500-5999,5500,6000,0
reasoning_etiological,6000-6139,6000,6144,0
reasoning_etiological,6144+,6144,99999,0
reasoning_correlation,0-499,0,500,13
reasoning_correlation,500-999,500,1000,1218
reasoning_correlation,1000-1499,1000,1500,266
reasoning_correlation,1500-1999,1500,2000,31
reasoning_correlation,2000-2999,2000,3000,9
reasoning_correlation,3000-3999,3000,4000,3
reasoning_correlation,4000-4999,4000,5000,8
reasoning_correlation,5000-5499,5000,5500,20
reasoning_correlation,5500-5999,5500,6000,19
reasoning_correlation,6000-6139,6000,6144,5
reasoning_correlation,6144+,6144,99999,0
reasoning_forecasting,0-499,0,500,0
reasoning_forecasting,500-999,500,1000,177
reasoning_forecasting,1000-1499,1000,1500,92
reasoning_forecasting,1500-1999,1500,2000,8
reasoning_forecasting,2000-2999,2000,3000,1
reasoning_forecasting,3000-3999,3000,4000,0
reasoning_forecasting,4000-4999,4000,5000,0
reasoning_forecasting,5000-5499,5000,5500,0
reasoning_forecasting,5500-5999,5500,6000,0
reasoning_forecasting,6000-6139,6000,6144,2
reasoning_forecasting,6144+,6144,99999,0
