task,idx,volatility_kind,score,run1_metric,run2_metric,run3_metric,persistent_mismatch_all3,mismatch_run1
correlation,2,correctness_std,0.4714,0,0,1,,False
correlation,16,correctness_std,0.4714,0,0,1,,True
correlation,24,correctness_std,0.4714,1,0,1,,False
correlation,40,correctness_std,0.4714,0,1,0,,False
correlation,45,correctness_std,0.4714,1,0,0,,False
correlation,46,correctness_std,0.4714,0,1,1,,False
correlation,47,correctness_std,0.4714,1,0,0,,False
correlation,61,correctness_std,0.4714,0,1,0,,False
correlation,78,correctness_std,0.4714,0,1,1,,True
correlation,84,correctness_std,0.4714,1,0,1,,False
correlation,86,correctness_std,0.4714,1,0,1,,True
correlation,98,correctness_std,0.4714,1,0,0,,False
correlation,107,correctness_std,0.4714,1,0,1,,False
correlation,110,correctness_std,0.4714,1,0,1,,False
correlation,111,correctness_std,0.4714,1,0,0,,False
correlation,112,correctness_std,0.4714,0,0,1,,False
correlation,115,correctness_std,0.4714,0,1,0,,True
correlation,134,correctness_std,0.4714,0,0,1,,False
correlation,139,correctness_std,0.4714,1,0,1,,False
correlation,154,correctness_std,0.4714,0,1,0,,False
correlation,157,correctness_std,0.4714,1,0,1,,False
correlation,158,correctness_std,0.4714,0,1,1,,True
correlation,163,correctness_std,0.4714,1,1,0,,False
correlation,165,correctness_std,0.4714,0,1,1,,False
correlation,168,correctness_std,0.4714,1,1,0,,False
correlation,174,correctness_std,0.4714,0,1,1,,False
correlation,176,correctness_std,0.4714,0,1,1,,False
correlation,179,correctness_std,0.4714,0,1,1,,False
correlation,180,correctness_std,0.4714,0,0,1,,True
correlation,185,correctness_std,0.4714,1,1,0,,False
correlation,186,correctness_std,0.4714,1,0,1,,False
correlation,193,correctness_std,0.4714,1,1,0,,False
correlation,196,correctness_std,0.4714,0,0,1,,False
correlation,199,correctness_std,0.4714,0,1,0,,False
correlation,200,correctness_std,0.4714,1,1,0,,True
correlation,206,correctness_std,0.4714,0,1,0,,False
correlation,227,correctness_std,0.4714,0,1,0,,False
correlation,229,correctness_std,0.4714,0,1,0,,False
correlation,234,correctness_std,0.4714,1,1,0,,False
correlation,242,correctness_std,0.4714,1,0,1,,False
correlation,254,correctness_std,0.4714,0,0,1,,False
correlation,258,correctness_std,0.4714,1,0,1,,True
correlation,267,correctness_std,0.4714,0,1,1,,True
correlation,277,correctness_std,0.4714,0,1,0,,False
correlation,280,correctness_std,0.4714,0,1,1,,False
correlation,300,correctness_std,0.4714,1,0,0,,True
correlation,302,correctness_std,0.4714,0,0,1,,False
correlation,303,correctness_std,0.4714,0,1,0,,False
correlation,306,correctness_std,0.4714,1,1,0,,False
correlation,308,correctness_std,0.4714,1,1,0,,False
correlation,310,correctness_std,0.4714,0,1,1,,False
correlation,314,correctness_std,0.4714,1,0,0,,False
correlation,317,correctness_std,0.4714,0,0,1,,False
correlation,324,correctness_std,0.4714,0,0,1,,False
correlation,336,correctness_std,0.4714,1,1,0,,False
correlation,356,correctness_std,0.4714,0,1,1,,False
correlation,365,correctness_std,0.4714,1,1,0,,False
correlation,369,correctness_std,0.4714,0,1,1,,False
correlation,386,correctness_std,0.4714,1,1,0,,False
correlation,395,correctness_std,0.4714,1,1,0,,False
correlation,399,correctness_std,0.4714,0,1,0,,False
correlation,400,correctness_std,0.4714,0,0,1,,False
correlation,420,correctness_std,0.4714,0,1,1,,False
correlation,430,correctness_std,0.4714,1,0,0,,False
correlation,440,correctness_std,0.4714,1,0,1,,False
correlation,463,correctness_std,0.4714,1,0,0,,False
correlation,464,correctness_std,0.4714,0,0,1,,True
correlation,472,correctness_std,0.4714,0,1,1,,False
correlation,480,correctness_std,0.4714,1,1,0,,True
correlation,481,correctness_std,0.4714,1,1,0,,False
correlation,489,correctness_std,0.4714,1,0,1,,True
correlation,497,correctness_std,0.4714,1,0,1,,False
correlation,499,correctness_std,0.4714,1,1,0,,False
correlation,512,correctness_std,0.4714,0,0,1,,False
correlation,524,correctness_std,0.4714,1,1,0,,False
correlation,527,correctness_std,0.4714,0,0,1,,False
correlation,529,correctness_std,0.4714,0,0,1,,False
correlation,532,correctness_std,0.4714,1,1,0,,True
correlation,533,correctness_std,0.4714,0,1,0,,False
correlation,542,correctness_std,0.4714,1,0,1,,False
